0,区名,区長,cityCode,区役所住所,区役所HP
1,北区,上野　信子,27127,北区扇町2丁目1番27号,http://www.city.osaka.lg.jp/kita/
2,都島区,林田　潔,27102,都島区中野町2-16-20,http://www.city.osaka.lg.jp/miyakojima/
3,福島区,坂本　幸三,27103,福島区大開1丁目8番1号,http://www.city.osaka.lg.jp/fukushima/
4,此花区,前田　昌則,27104,此花区春日出北1-8-4,http://www.city.osaka.lg.jp/konohana/
5,中央区,柏木　陸照,27128,中央区久太郎町1丁目2番27号,http://www.city.osaka.lg.jp/chuo/
6,西区,髙野　賢,27106,西区新町4丁目5番14号,http://www.city.osaka.lg.jp/nishi/
7,港区,田端　尚伸,27107,港区市岡1丁目15番25号,http://www.city.osaka.lg.jp/minato/
8,大正区,筋原　章博,27108,大正区千島2丁目7番95号,http://www.city.osaka.lg.jp/taisho/
9,天王寺区,西山　忠邦,27109,天王寺区真法院町20番33号,http://www.city.osaka.lg.jp/tennoji/
10,浪速区,玉置　賢司,27111,浪速区敷津東1丁目4番20号,http://www.city.osaka.lg.jp/naniwa/
11,西淀川区,塩屋　幸男,27113,西淀川区御幣島1丁目2番10号,http://www.city.osaka.lg.jp/nishiyodogawa/
12,淀川区,榊　正文,27123,淀川区十三東2丁目3番3号,http://www.city.osaka.lg.jp/yodogawa/
13,東淀川区,金谷　一郎,27114,東淀川区豊新2丁目1番4号,http://www.city.osaka.lg.jp/higashiyodogawa/
14,東成区,森本　万喜子,27115,東成区大今里西2丁目8番4号,http://www.city.osaka.lg.jp/higashinari/
15,生野区,清野　善剛,27116,生野区勝山南3丁目1番19号,http://www.city.osaka.lg.jp/ikuno/
16,旭区,小川　明彦,27117,旭区大宮1丁目1番17号,http://www.city.osaka.lg.jp/asahi/
17,城東区,奥野　隆司,27118,城東区中央3丁目5番45号,http://www.city.osaka.lg.jp/joto/
18,鶴見区,河村　浩一,27124,鶴見区横堤5丁目4番19号,http://www.city.osaka.lg.jp/tsurumi/
19,阿倍野区,宝田　啓行,27119,阿倍野区文の里1-1-40,http://www.city.osaka.lg.jp/abeno/
20,住之江区,西原　昇,27125,住之江区御崎3丁目1番17号,http://www.city.osaka.lg.jp/suminoe/
21,住吉区,吉田　康人,27120,住吉区南住吉3丁目15番55号,http://www.city.osaka.lg.jp/sumiyoshi/
22,東住吉区,小倉　健宏,27121,東住吉区東田辺1丁目13番4号,http://www.city.osaka.lg.jp/higashisumiyoshi/
23,平野区,稲嶺　一夫,27126,平野区背戸口3丁目8番19号,http://www.city.osaka.lg.jp/hirano/
24,西成区,横関　稔,27122,西成区岸里1丁目5番20号,http://www.city.osaka.lg.jp/nishinari/